Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
64	33	35	0.390625	0.49047619047619045	0.00016787052154541016
128	49	59	0.5625	0.5254237288135594	0.000376284122467041
192	65	88	0.609375	0.5378787878787878	0.0006087978680928548
256	75	104	0.671875	0.5400641025641025	0.0007601102193196614
320	90	130	0.765625	0.5371794871794872	0.0009359518686930338
384	105	161	0.78125	0.5445134575569358	0.001137856642405192
448	113	183	0.75	0.5437158469945356	0.0013634204864501954
512	122	207	0.84375	0.5418679549114331	0.001602176825205485
576	134	225	0.875	0.5407407407407407	0.0018568952878316243
640	145	251	0.875	0.5444887118193891	0.0021218458811442056
704	158	281	0.875	0.5355871886120996	0.0024460673332214354
768	168	307	0.859375	0.5293159609120521	0.002749435106913249
832	178	326	0.875	0.5311860940695297	0.003071939945220947
896	190	359	0.921875	0.5297121634168988	0.0034238616625467937
960	196	383	0.890625	0.5252393385552655	0.003772600491841634
1024	203	405	0.890625	0.5246913580246914	0.004137074947357178
1088	220	437	0.90625	0.5217391304347826	0.004520316918690999
1152	230	465	0.90625	0.5175627240143369	0.004921360810597738
1216	243	499	0.90625	0.5130260521042084	0.0053416132926940914
1280	242	500	0.90625	0.5063333333333333	0.00584630568822225
1344	239	500	0.890625	0.5036666666666667	0.006332393487294515
1408	235	500	0.90625	0.504	0.006816713015238444
1472	229	500	0.921875	0.5003333333333333	0.00729522705078125
1536	229	500	0.890625	0.498	0.007737942536671956
1600	224	500	0.9375	0.5006666666666667	0.00818494955698649
1664	229	500	0.953125	0.49966666666666665	0.008655452728271484
1728	224	500	0.9375	0.49933333333333335	0.009115052223205567
1792	221	500	0.9375	0.497	0.009565516312917074
1856	222	500	0.90625	0.49533333333333335	0.01005091667175293
1920	225	500	0.90625	0.49033333333333334	0.010531572500864665
1984	229	500	0.921875	0.4886666666666667	0.011038470268249511
2048	232	500	0.921875	0.489	0.01152131160100301
2112	224	500	0.9375	0.4866666666666667	0.012002352873484294
2176	227	500	0.9375	0.48	0.01249854564666748
2240	227	500	0.921875	0.47833333333333333	0.012972072760264079
2304	229	500	0.9375	0.47833333333333333	0.013472640514373779
2368	224	500	0.9375	0.47533333333333333	0.013930435975392659
2432	225	500	0.953125	0.4736666666666667	0.014398396015167236
2496	220	500	0.96875	0.47333333333333333	0.014863034089406332
2560	220	500	0.953125	0.468	0.015298779805501301
2624	216	500	0.9375	0.4686666666666667	0.015768837928771973
2688	212	500	0.953125	0.4673333333333333	0.01618991295496623
2752	214	500	0.953125	0.4676666666666667	0.016653382778167726
2816	205	500	0.9375	0.4703333333333333	0.01709206501642863
2880	201	500	0.9375	0.4673333333333333	0.017532447973887127
2944	197	500	0.953125	0.4706666666666667	0.01796381870905558
3008	196	500	0.9375	0.4716666666666667	0.018385414282480875
3072	196	500	0.921875	0.4713333333333333	0.01879697640736898
3136	191	500	0.921875	0.473	0.019174559911092123
3200	188	500	0.9375	0.479	0.019611744085947673
3264	179	500	0.9375	0.4836666666666667	0.019994107882181804
3328	178	500	0.9375	0.483	0.020386258761088055
3392	176	500	0.953125	0.4816666666666667	0.02077481746673584
3456	174	500	0.953125	0.484	0.02113198439280192
3520	175	500	0.953125	0.4796666666666667	0.021520312627156576
3584	181	500	0.953125	0.478	0.02190589507420858
3648	183	500	0.953125	0.47333333333333333	0.022311957677205403
3712	186	500	0.953125	0.4726666666666667	0.022705435752868652
3776	182	500	0.953125	0.471	0.023083778222401936
3840	179	500	0.96875	0.4723333333333333	0.023485207557678224
3904	181	500	0.96875	0.4696666666666667	0.023877946535746257
3968	179	500	1.0	0.4726666666666667	0.02426892121632894
4032	170	500	1.0	0.477	0.024653283754984538
4096	163	500	1.0	0.478	0.02502181927363078
4160	170	500	1.0	0.48733333333333334	0.025418996810913086
4224	176	500	1.0	0.48933333333333334	0.025785895188649495
4288	173	500	1.0	0.48933333333333334	0.02616351842880249
4352	166	500	1.0	0.4876666666666667	0.0265177051226298
4416	160	500	1.0	0.49066666666666664	0.026865049203236898
4480	166	500	0.984375	0.488	0.027250532309214273
4544	162	500	1.0	0.49133333333333334	0.027654369672139485
4608	154	500	1.0	0.49466666666666664	0.028021482626597087
4672	147	500	0.984375	0.49166666666666664	0.02835015853246053
4736	151	500	1.0	0.49266666666666664	0.028669305642445884
4800	143	500	1.0	0.49633333333333335	0.029000552495320638
4864	143	500	1.0	0.497	0.029293851057688395
4928	146	500	1.0	0.49466666666666664	0.029600918292999268
4992	142	500	1.0	0.49733333333333335	0.029934314886728923
5056	136	500	1.0	0.496	0.030483094851175944
5120	134	500	1.0	0.49566666666666664	0.030758941173553468
5184	130	500	1.0	0.5033333333333333	0.031044058005015054
5248	133	500	1.0	0.503	0.03134524424870809
5312	133	500	1.0	0.505	0.031659464041392006
5376	128	500	1.0	0.5033333333333333	0.03195110956827799
5440	126	500	1.0	0.5063333333333333	0.032239989439646406
5504	131	500	1.0	0.5083333333333333	0.032519177595774336
5568	131	500	1.0	0.5073333333333333	0.0328013817469279
5632	130	500	1.0	0.506	0.033103946844736734
5696	124	500	1.0	0.5053333333333333	0.03340302308400472
5760	121	500	1.0	0.5073333333333333	0.03368066549301148
5824	120	500	1.0	0.5053333333333333	0.03394368886947632
5888	119	500	0.984375	0.5063333333333333	0.03419859011967977
5952	119	500	1.0	0.5083333333333333	0.03445315361022949
6016	113	500	1.0	0.5103333333333333	0.034724779923756915
6080	116	500	1.0	0.508	0.03500022888183594
6144	119	500	1.0	0.5066666666666667	0.035280982653299965
